Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Botafogo de Futebol e Regatas,Fogão[1]​Estrela Solitaria(Estrella Solitaria)[2]​Glorioso[3]​,12 de agosto de 1904 (119 años),Durcesio Mello[5]​,Fabio Matias (interino)[7]​,"Estadio Nilton SantosRío de Janeiro,Brasil",No data,46.931 espectadores,No data,Botafogo de Futebol e Regatas
Maccabi Kafr Kanna Football Club,No data,2005,Saeed Basoul,Sharon Mimer,Municipal Stadium,"Reineh,Israel",2500,Reineh,Maccabi Bnei Reineh
São Paulo Futebol Clube,Tricolor PaulistaTricolor del MorumbiSoberano[1]​O Clube da Fé[2]​Los Brancos,25 de enero de 1930 (94 años),Julio Casares[3]​,Thiago Carpini[5]​,MorumBIS,"São Paulo,Brasil",72 039 espectadores,São Paulo,São Paulo Futebol Clube
No data,No data,No data,No data,No data,No data,No data,No data,No data,Sociedade Esportiva Palmeiras
No data,No data,No data,No data,No data,No data,No data,No data,No data,CR Flamengo
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Celtic Football Club,"The Bhoys (Los chicos),The Celts (Los celtas),The Hoops (Los aros)",6 de noviembre de 1887 (136 años),Peter Lawwell,Brendan Rodgers,Celtic Park,"Glasgow,Escocia",60 411 espectadores,Glasgow,Celtic FC
Sport Club Internacional,Inter[1]​Colorado[2]​Orgulho do Brasil[3]​Campeão de Tudo[4]​,4 de abril de 1909 (114 años),Alessandro Barcellos[5]​,Eduardo Coudet[7]​,Beira-Rio,"Porto Alegre,Brasil",51 300[8]​,Porto Alegre,Sport Club Internacional
Sport Club do Recife,Leão da Ilha (león de la isla)[1]​Leão do Norte (león del norte)[2]​Leão da Praça da Bandeira (león de la Plaza de la Bandera)[3]​Papai da Cidade (Papá de la ciudad)[4]​,13 de mayo de 1905 (118 años),Yuri Romão[5]​,Mariano Soso[6]​,Estadio Ilha do Retiro,"Recife,Brasil",35.000 espectadores,Recife,Sport Club do Recife
Grêmio Novorizontino,O Tigre do Vale(El tigre del valle)[1]​Tigre[1]​,1 de marzo de 2010 (14 años),Genilson da Rocha Santos[2]​,Eduardo Baptista[4]​,Estadio Jorge Ismael de Biasi – Jorjão,"Novo Horizonte,São Paulo,Brasil",16.000 espectadores[5]​,Novo Horizonte,Grêmio Novorizontino
Atlético Nacional S.A.,El VerdeEl Verde de la MontañaEl Verde PaisaLa Máquina VerdeLos Puros CriollosRey de CopasEl Verdolaga,30 de abril de 1947 (76 años)como Club Atlético Municipal de Medellín,Mauricio Navarro,Pablo Repetto,Atanasio Girardot,"Carrera 74 # 48-21Medellín,Colombia(Coord.6°13′00″N75°34′00″O﻿ / ﻿6.216667,-75.566667)",46 000[2]​,Carrera 74 # 48-21Medellín,Atlético Nacional
Casa Pia Atlético Clube,Gansos Casapianos,03 de julio de 1920 (103 años),Victor Domingos Franco,Filipe Martins,Estádio Pina Manique,"Lisboa,Portugal",5000,Lisboa,Casa Pia AC
Celtic Football Club,"The Bhoys (Los chicos),The Celts (Los celtas),The Hoops (Los aros)",6 de noviembre de 1887 (136 años),Peter Lawwell,Brendan Rodgers,Celtic Park,"Glasgow,Escocia",60 411 espectadores,Glasgow,Celtic FC
Ceará Sporting Club,"Vozão (gran abuelo),Vovô (abuelo),Alvinegro Cearense",2 de junio de 1914 (109 años),João Paulo Silva[1]​,Vágner Mancini[3]​,Castelão,"Fortaleza,Brasil",65 000 espectadores,Fortaleza,Ceará Sporting Club
Tokushima Vortis,Vortis,1955 (69 años) comoOtsuka SC,Kazuhiro Kishida,Beñat Labaien,Pocarisweat Stadium,"Naruto,Tokushima,Japón",17.924 espectadores,Naruto,Tokushima Vortis
Futbolnyy̆ Klub Zorya Lugansk,Chorno-biliCherno-belye(Blanquinegros)Luganchane,5 de mayo de 1923 (100 años),Yevhen Heller,Patrick van Leeuwen,Slavutych-Arena[1]​,"Zaporiyia,Ucrania","11,883 espectadores",Zaporiyia,Zorya Lugansk
Football Club Arda Kardzhali,Валеканите(Vallecanos),10 de agosto de 1924 (99 años),Petar Peshev,Nikolay Kirov,Arena Arda,"Kardzhali,Bulgaria",15.000,Kardzhali,Arda Kardzhali
Beijing Sinobo Guoan Football Club[1]​(北京中赫國安足球俱樂部)[1]​,La Guardia Imperial(御林军),1951 (73 años)Profesional:29 de diciembre de 1992 (31 años),Zhou Jinhui[2]​,Xie Feng[3]​,"Estadio Gongti,Pekín,China",No data,55 161,No data,Beijing Guoan
Associação Atlética Caldense,Veterana[1]​Periquito[2]​,7 de septiembre de 1925 (98 años),Rovilson Ribeiro[3]​,Thiago Oliveira[4]​,Ronaldão[5]​,"Poços de Caldas,Brasil",7 600 espectadores[6]​,Poços de Caldas,AA Caldense
