Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Association Sportive de Saint-Étienne,Les Verts(Los Verdes),26 de junio de 1933 (90 años),Bernard Caiazzo,Olivier Dall'Oglio,Stade Geoffroy-Guichard,"Saint-Étienne,Francia",42 000 espectadores,Saint-Étienne,AS Saint-Étienne
Club Atlético Municipal Vinto Palma Flor,Las FierasLa Escuadra Azul,10 de septiembre de 2008 (15 años)comoClub Municipal Vinto,Evo Morales,Joaquín Pérez,Bicentenario de Villa Tunari,"Villa Tunari,Bolivia",25 000 espectadores,Villa Tunari,Palmaflor del Trópico
Club Atlético Municipal Vinto Palma Flor,Las FierasLa Escuadra Azul,10 de septiembre de 2008 (15 años)comoClub Municipal Vinto,Evo Morales,Joaquín Pérez,Bicentenario de Villa Tunari,"Villa Tunari,Bolivia",25 000 espectadores,Villa Tunari,Palmaflor del Trópico
Club Estudiantes de La Plata,PinchaPincharrataLeón,4 de agosto de 1905 (118 años),Martín Gorostegui,Eduardo Domínguez,Jorge Luis Hirschi,"Avenida 1 entre 55 y 57La Plata,Buenos Aires,Argentina",32 530 espectadores[1]​,Avenida 1 entre 55 y 57La Plata,Club Estudiantes de La Plata
Göztepe Spor Kulübü,Göz GözTam 35,14 de junio de 1925 (98 años),Mehmet Sepil,Stanimir Stoilov,Gürsel Aksel Stadium,"Esmirna,Turquía",25.035 espectadores,Esmirna,Göztepe
Municipal Grecia,No data,16 de agosto de 1998 (25 años),Javier San Román,Javier San Román,Allen Riggioni Suárez,"Av. ColónGrecia,Costa Rica",3354 espectadores,Av. ColónGrecia,Municipal Grecia
No data,No data,No data,No data,No data,No data,No data,No data,No data,AA Argentinos Juniors
Club Deportivo Ñublense S.A.D.P.[1]​,"Los Diablos Rojos, El Rojo, La Longaniza Mecánica",20 de agosto de 1916 (107 años)como Liceo Football Club,Sergio Gioino,Mario Salas,Bicentenario Municipal Nelson Oyarzún,"Pedro Aguirre Cerda 297Chillán,Ñuble,Chile",11 319 espectadores.,Pedro Aguirre Cerda 297Chillán,CD Ñublense
Football Club Lorient,Les Merlus(Merluzas)[1]​Les tango et noir[2]​,No data,Loïc Fery,Régis Le Bris,Stade du Moustoir,"Lorient,Francia",18 890,Lorient,FC Lorient
Fotballklubben Bodø/Glimt,GlimtSuperlagetDen Gule Horde (La Horda Amarilla),19 de septiembre de 1916 (107 años),Bjørn-Tore Hansen,Kjetil Knutsen,Aspmyra Stadion,"Bodø,Noruega",8.200,Bodø,FK Bodø/Glimt
Liverpool Fútbol Club,NegriazulesLa CuchillaEl Negro de la Cuchilla,15 de febrero de 1915 (109 años),José Luis Palma,Emiliano Alfaro,Belvedere,"Montevideo,Uruguay",8500[1]​,Montevideo,Liverpool FC Montevideo
Ceará Sporting Club,"Vozão (gran abuelo),Vovô (abuelo),Alvinegro Cearense",2 de junio de 1914 (109 años),João Paulo Silva[1]​,Vágner Mancini[3]​,Castelão,"Fortaleza,Brasil",65 000 espectadores,Fortaleza,Ceará Sporting Club
Fortuna Sittard,"Fortuna, Fortunezen",1 de julio de 1968,No data,Danny Buijs,Fortuna Sittard Stadion,No data,12.800,No data,Fortuna Sittard
Sporting Clube de Braga,Os Arcebispos(Los Arzobispos)Os ArsenalistasArsenal do MinhoMinhotos(deMinho),19 de enero de 1921 (103 años),António Salvador[1]​,Artur Jorge,Estadio Municipal de Braga,"Braga,Portugal",30 286,Braga,SC Braga
Sport Lisboa e Benfica,Os Encarnados(Los Encarnados)[1]​O Glorioso(El Glorioso)[2]​,28 de febrero de 1904 (120 años),Rui Costa,Roger Schmidt,Estádio da Luz,"Lisboa,Portugal",66.500[3]​ espectadores,Lisboa,SL Benfica
Vitória Sport Clube,VimaranensesConquistadores,22 de septiembre de 1922 (101 años),António Miguel Cardoso,Álvaro Pacheco,Dom Afonso Henriques,"Guimarães,Portugal",30 029,Guimarães,Vitória Guimarães SC
Koninklijke Voetbalclub Kortrijk,de Kerels (los chicos) ode Veekaa,14 de marzo de 1901 (123 años),Ronny Verhelst,Freyr Alexandersson,Guldensporen Stadion,"Cortrique,Bélgica",9400 espectadores,Cortrique,KV Kortrijk
Beşiktaş Jimnastik Kulübü[1]​,Kara Kartallar (Las águilas negras)[2]​[3]​Siyah-beyazlılar (Los blanquinegros),4 de marzo de 1903 (121 años)[4]​,Hasan Arat,Fernando Santos,Vodafone Park,"Estambul,Turquía",42.000[5]​ (espectadores),Estambul,Besiktas JK
Club Atlético Boca Juniors,Xeneize[1]​Azul y Oro[2]​La Mitad Más Uno[3]​,3 de abril de 1905 (118 años),Juan Román Riquelme,Diego Martínez,Alberto J. Armando«La Bombonera»,"Brandsen 805,Buenos Aires,Argentina34°38′08″S58°21′53″O﻿ / ﻿-34.63556,-58.36472",57 200 espectadores[5]​,Brandsen 805,CA Boca Juniors
Persepolis Football Club,El Ejército Rojo(enpersa:رتش سرخ‎)Piruzí,diciembre de 1963[1]​[2]​ (60 años),Mohammad Hossein Nejad Fallah,Yahya Golmohammadi,Estadio Azadi,"Teherán,Irán",90.000,Teherán,Persepolis FC
Urawa Red Diamonds,RedsRed Devils,1959 (74 años)comoMitsubishi Heavy Industries SC,Mitsuo Hashimoto,Per-Mathias Høgmo,Saitama Stadium 2002,"Midori-ku,Saitama",63.700[1]​ espectadores,Midori-ku,Urawa Red Diamonds
Hellas Verona Football Club S.p.A.,Gialloblù(Amarillo-Azul)Mastini(Mastines)ScaligeriButei(Muchachos),1903 (120 años)comoAssociazione Calcio Hellas,Maurizio Setti,Marco Baroni,Marcantonio Bentegodi,"Verona,Italia",39 211 espectadores,Verona,Hellas Verona
Sport Lisboa e Benfica,Os Encarnados(Los Encarnados)[1]​O Glorioso(El Glorioso)[2]​,28 de febrero de 1904 (120 años),Rui Costa,Roger Schmidt,Estádio da Luz,"Lisboa,Portugal",66.500[3]​ espectadores,Lisboa,SL Benfica
Астана футбол клубыAstana Fútbol Club,Sine-zholtyye(Azul y amarillo),2009 (11 años) comoLokomotiv Astana,Tastanbek Esentaev,Srđan Blagojević,Astana Arena,"Astaná,Kazajistán",30 000[1]​,Astaná,FC Astana
São Paulo Futebol Clube,Tricolor PaulistaTricolor del MorumbiSoberano[1]​O Clube da Fé[2]​Los Brancos,25 de enero de 1930 (94 años),Julio Casares[3]​,Thiago Carpini[5]​,MorumBIS,"São Paulo,Brasil",72 039 espectadores,São Paulo,São Paulo Futebol Clube
